0.40  	 0.40 	 1 	 0.4855 	 0.2040 	 0.1370 	 0.0135 	 0.1600
0.40  	 0.45 	 1 	 0.4940 	 0.2290 	 0.1125 	 0.0080 	 0.1565
0.40  	 0.50 	 1 	 0.4760 	 0.2415 	 0.1225 	 0.0110 	 0.1490
0.40  	 0.55 	 1 	 0.4605 	 0.2725 	 0.1090 	 0.0100 	 0.1480
0.40  	 0.60 	 1 	 0.4535 	 0.2930 	 0.1190 	 0.0145 	 0.1200
0.45  	 0.40 	 1 	 0.5200 	 0.2075 	 0.1420 	 0.0045 	 0.1260
0.45  	 0.45 	 1 	 0.5365 	 0.2005 	 0.1300 	 0.0065 	 0.1265
0.45  	 0.50 	 1 	 0.5110 	 0.2425 	 0.1250 	 0.0075 	 0.1140
0.45  	 0.55 	 1 	 0.5035 	 0.2440 	 0.1195 	 0.0090 	 0.1240
0.45  	 0.60 	 1 	 0.5050 	 0.2715 	 0.1100 	 0.0065 	 0.1070
0.50  	 0.40 	 1 	 0.5325 	 0.1970 	 0.1575 	 0.0030 	 0.1100
0.50  	 0.45 	 1 	 0.5385 	 0.2145 	 0.1425 	 0.0025 	 0.1020
0.50  	 0.50 	 1 	 0.5355 	 0.2305 	 0.1250 	 0.0040 	 0.1050
0.50  	 0.55 	 1 	 0.5250 	 0.2380 	 0.1405 	 0.0040 	 0.0925
0.50  	 0.60 	 1 	 0.5120 	 0.2615 	 0.1305 	 0.0070 	 0.0890
0.55  	 0.40 	 1 	 0.5690 	 0.1825 	 0.1475 	 0.0020 	 0.0990
0.55  	 0.45 	 1 	 0.5820 	 0.1830 	 0.1530 	 0.0005 	 0.0815
0.55  	 0.50 	 1 	 0.5715 	 0.2065 	 0.1420 	 0.0020 	 0.0780
0.55  	 0.55 	 1 	 0.5540 	 0.1985 	 0.1515 	 0.0040 	 0.0920
0.55  	 0.60 	 1 	 0.5515 	 0.2300 	 0.1365 	 0.0020 	 0.0800
0.60  	 0.40 	 1 	 0.5995 	 0.1690 	 0.1540 	 0.0020 	 0.0755
0.60  	 0.45 	 1 	 0.5830 	 0.1780 	 0.1680 	 0.0000 	 0.0710
0.60  	 0.50 	 1 	 0.5795 	 0.1925 	 0.1485 	 0.0015 	 0.0780
0.60  	 0.55 	 1 	 0.5845 	 0.1850 	 0.1685 	 0.0015 	 0.0605
0.60  	 0.60 	 1 	 0.5650 	 0.2175 	 0.1510 	 0.0010 	 0.0655
0.40  	 0.40 	 2 	 0.7845 	 0.0400 	 0.0620 	 0.0110 	 0.1025
0.40  	 0.45 	 2 	 0.8155 	 0.0390 	 0.0445 	 0.0100 	 0.0910
0.40  	 0.50 	 2 	 0.8400 	 0.0390 	 0.0315 	 0.0110 	 0.0785
0.40  	 0.55 	 2 	 0.8455 	 0.0355 	 0.0295 	 0.0075 	 0.0820
0.40  	 0.60 	 2 	 0.8720 	 0.0365 	 0.0140 	 0.0075 	 0.0700
0.45  	 0.40 	 2 	 0.8330 	 0.0350 	 0.0420 	 0.0055 	 0.0845
0.45  	 0.45 	 2 	 0.8555 	 0.0335 	 0.0350 	 0.0030 	 0.0730
0.45  	 0.50 	 2 	 0.8635 	 0.0390 	 0.0320 	 0.0055 	 0.0600
0.45  	 0.55 	 2 	 0.8760 	 0.0355 	 0.0205 	 0.0075 	 0.0605
0.45  	 0.60 	 2 	 0.8915 	 0.0365 	 0.0150 	 0.0070 	 0.0500
0.50  	 0.40 	 2 	 0.8510 	 0.0375 	 0.0430 	 0.0040 	 0.0645
0.50  	 0.45 	 2 	 0.8725 	 0.0360 	 0.0350 	 0.0050 	 0.0515
0.50  	 0.50 	 2 	 0.8920 	 0.0305 	 0.0245 	 0.0030 	 0.0500
0.50  	 0.55 	 2 	 0.8950 	 0.0335 	 0.0205 	 0.0050 	 0.0460
0.50  	 0.60 	 2 	 0.9170 	 0.0295 	 0.0075 	 0.0040 	 0.0420
0.55  	 0.40 	 2 	 0.8830 	 0.0360 	 0.0345 	 0.0030 	 0.0435
0.55  	 0.45 	 2 	 0.9025 	 0.0310 	 0.0240 	 0.0025 	 0.0400
0.55  	 0.50 	 2 	 0.9125 	 0.0340 	 0.0160 	 0.0030 	 0.0345
0.55  	 0.55 	 2 	 0.9185 	 0.0310 	 0.0090 	 0.0055 	 0.0360
0.55  	 0.60 	 2 	 0.9210 	 0.0345 	 0.0110 	 0.0035 	 0.0300
0.60  	 0.40 	 2 	 0.9000 	 0.0365 	 0.0240 	 0.0025 	 0.0370
0.60  	 0.45 	 2 	 0.9210 	 0.0310 	 0.0170 	 0.0015 	 0.0295
0.60  	 0.50 	 2 	 0.9330 	 0.0310 	 0.0105 	 0.0005 	 0.0250
0.60  	 0.55 	 2 	 0.9420 	 0.0240 	 0.0080 	 0.0015 	 0.0245
0.60  	 0.60 	 2 	 0.9430 	 0.0305 	 0.0040 	 0.0010 	 0.0215
0.40  	 0.40 	 3 	 0.5305 	 0.0855 	 0.0645 	 0.1220 	 0.1975
0.40  	 0.45 	 3 	 0.5825 	 0.0735 	 0.0460 	 0.1140 	 0.1840
0.40  	 0.50 	 3 	 0.5835 	 0.0775 	 0.0320 	 0.1350 	 0.1720
0.40  	 0.55 	 3 	 0.5985 	 0.0745 	 0.0305 	 0.1410 	 0.1555
0.40  	 0.60 	 3 	 0.6330 	 0.0840 	 0.0210 	 0.1370 	 0.1250
0.45  	 0.40 	 3 	 0.5955 	 0.0870 	 0.0635 	 0.0980 	 0.1560
0.45  	 0.45 	 3 	 0.6025 	 0.0825 	 0.0510 	 0.1045 	 0.1595
0.45  	 0.50 	 3 	 0.6445 	 0.0770 	 0.0370 	 0.1140 	 0.1275
0.45  	 0.55 	 3 	 0.6395 	 0.0790 	 0.0210 	 0.1360 	 0.1245
0.45  	 0.60 	 3 	 0.6805 	 0.0795 	 0.0170 	 0.1115 	 0.1115
0.50  	 0.40 	 3 	 0.6220 	 0.0790 	 0.0585 	 0.0960 	 0.1445
0.50  	 0.45 	 3 	 0.6465 	 0.0840 	 0.0395 	 0.1090 	 0.1210
0.50  	 0.50 	 3 	 0.6525 	 0.0810 	 0.0385 	 0.1085 	 0.1195
0.50  	 0.55 	 3 	 0.6870 	 0.0895 	 0.0225 	 0.0990 	 0.1020
0.50  	 0.60 	 3 	 0.6950 	 0.0985 	 0.0135 	 0.1090 	 0.0840
0.55  	 0.40 	 3 	 0.6670 	 0.0870 	 0.0555 	 0.0800 	 0.1105
0.55  	 0.45 	 3 	 0.6830 	 0.0895 	 0.0425 	 0.0905 	 0.0945
0.55  	 0.50 	 3 	 0.7220 	 0.0885 	 0.0290 	 0.0765 	 0.0840
0.55  	 0.55 	 3 	 0.7125 	 0.1010 	 0.0180 	 0.0860 	 0.0825
0.55  	 0.60 	 3 	 0.7315 	 0.0795 	 0.0180 	 0.0980 	 0.0730
0.60  	 0.40 	 3 	 0.6975 	 0.0900 	 0.0505 	 0.0675 	 0.0945
0.60  	 0.45 	 3 	 0.7310 	 0.0890 	 0.0375 	 0.0770 	 0.0655
0.60  	 0.50 	 3 	 0.7485 	 0.0910 	 0.0290 	 0.0660 	 0.0655
0.60  	 0.55 	 3 	 0.7640 	 0.0775 	 0.0140 	 0.0775 	 0.0670
0.60  	 0.60 	 3 	 0.7680 	 0.0800 	 0.0110 	 0.0830 	 0.0580
0.40  	 0.40 	 4 	 0.6625 	 0.0235 	 0.1000 	 0.0810 	 0.1330
0.40  	 0.45 	 4 	 0.7160 	 0.0130 	 0.0870 	 0.0635 	 0.1205
0.40  	 0.50 	 4 	 0.7450 	 0.0150 	 0.0835 	 0.0515 	 0.1050
0.40  	 0.55 	 4 	 0.7485 	 0.0155 	 0.0815 	 0.0635 	 0.0910
0.40  	 0.60 	 4 	 0.7855 	 0.0095 	 0.0810 	 0.0505 	 0.0735
0.45  	 0.40 	 4 	 0.7190 	 0.0210 	 0.0965 	 0.0655 	 0.0980
0.45  	 0.45 	 4 	 0.7500 	 0.0170 	 0.0810 	 0.0540 	 0.0980
0.45  	 0.50 	 4 	 0.7920 	 0.0120 	 0.0710 	 0.0515 	 0.0735
0.45  	 0.55 	 4 	 0.7800 	 0.0135 	 0.0730 	 0.0575 	 0.0760
0.45  	 0.60 	 4 	 0.8215 	 0.0095 	 0.0680 	 0.0385 	 0.0625
0.50  	 0.40 	 4 	 0.7335 	 0.0195 	 0.0885 	 0.0690 	 0.0895
0.50  	 0.45 	 4 	 0.7560 	 0.0155 	 0.0905 	 0.0650 	 0.0730
0.50  	 0.50 	 4 	 0.7905 	 0.0185 	 0.0740 	 0.0485 	 0.0685
0.50  	 0.55 	 4 	 0.8140 	 0.0130 	 0.0770 	 0.0405 	 0.0555
0.50  	 0.60 	 4 	 0.8390 	 0.0120 	 0.0700 	 0.0405 	 0.0385
0.55  	 0.40 	 4 	 0.7710 	 0.0170 	 0.0970 	 0.0495 	 0.0655
0.55  	 0.45 	 4 	 0.7860 	 0.0195 	 0.0840 	 0.0475 	 0.0630
0.55  	 0.50 	 4 	 0.8050 	 0.0180 	 0.0875 	 0.0385 	 0.0510
0.55  	 0.55 	 4 	 0.8090 	 0.0145 	 0.0835 	 0.0440 	 0.0490
0.55  	 0.60 	 4 	 0.8415 	 0.0110 	 0.0725 	 0.0350 	 0.0400
0.60  	 0.40 	 4 	 0.7930 	 0.0230 	 0.0840 	 0.0455 	 0.0545
0.60  	 0.45 	 4 	 0.8085 	 0.0160 	 0.0915 	 0.0490 	 0.0350
0.60  	 0.50 	 4 	 0.8300 	 0.0170 	 0.0775 	 0.0335 	 0.0420
0.60  	 0.55 	 4 	 0.8530 	 0.0110 	 0.0685 	 0.0315 	 0.0360
0.60  	 0.60 	 4 	 0.8620 	 0.0105 	 0.0640 	 0.0330 	 0.0305
